Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.52,1000,774.2,0.0000,612,1000
0.52,1000,587.9,0.0000,612,1000
0.53,1000,554.6,0.0000,612,1000
0.53,1000,618.4,0.0000,612,1000
0.53,1000,605.6,0.0000,612,1000
0.53,1000,558.4,0.2561,612,1000
0.53,1000,547.0,0.0000,612,1000
0.53,1000,800.6,0.0000,612,1000
0.54,1000,780.0,0.0000,612,1000
0.54,1000,693.6,0.0000,612,1000
0.54,1000,685.4,0.0000,612,1000
0.54,1000,623.6,0.0000,612,1000
0.54,1000,786.7,0.0000,612,1000
0.54,1000,776.0,0.0000,612,1000
0.54,1000,787.5,0.0000,612,1000
0.54,1000,804.6,0.0000,612,1000
0.55,1000,805.5,0.0000,612,1000
0.55,1000,779.4,0.0000,612,1000
0.55,1000,810.0,0.0000,612,1000
0.55,1000,594.2,0.1933,612,1000
0.55,1000,802.8,0.0000,612,1000
0.55,1000,796.4,0.0000,612,1000
0.55,1000,776.3,0.0000,612,1000
0.56,1000,804.1,0.0000,612,1000
0.56,1000,772.0,0.0000,612,1000
0.56,1000,806.3,0.0000,612,1000
0.56,1000,817.8,0.0000,612,1000
0.56,1000,727.1,0.0000,612,1000
0.56,1000,704.7,0.0000,612,1000
0.56,1000,712.6,0.0000,612,1000
0.56,1000,628.6,0.0000,612,1000
0.57,1000,783.9,0.0000,612,1000
0.57,1000,754.5,0.0000,612,1000
0.57,1000,786.9,0.0000,612,1000
0.57,1000,519.4,0.2196,612,1000
0.57,1000,799.3,0.0000,612,1000
0.57,1000,790.0,0.0000,612,1000
0.57,1000,800.1,0.0000,612,1000
0.58,1000,773.3,0.0000,612,1000
0.58,1000,802.1,0.0000,612,1000
0.58,1000,794.7,0.0000,612,1000
0.58,1000,797.7,0.0000,612,1000
0.58,1000,795.2,0.0000,612,1000
0.58,1000,808.4,0.0000,612,1000
0.58,1000,789.9,0.0000,612,1000
0.58,1000,785.0,0.0000,612,1000
0.59,1000,784.0,0.0000,612,1000
0.59,1000,802.2,0.0000,612,1000
0.59,1000,802.2,0.0000,612,1000
0.59,1000,575.6,0.2179,612,1000
0.59,1000,710.8,0.0000,612,1000
0.59,1000,694.6,0.0000,612,1000
0.59,1000,789.6,0.0000,612,1000
0.60,1000,792.4,0.0000,613,1000
0.60,1000,796.8,0.0000,613,1000
0.60,1000,772.0,0.0000,613,1000
0.60,1000,712.5,0.0000,613,1000
0.60,1000,773.8,0.0000,613,1000
0.60,1000,798.8,0.0000,613,1000
0.60,1000,743.4,0.0000,613,1000
0.60,1000,650.9,0.0000,613,1000
